QTD_TEORICA,QTD_TEORICA_TOTAL,QTD_REDUTOR,VAL_PARTICIPACAO_ACUMULADA_SETOR,VAL_PARTICIPACAO_SETOR
1243177587.0,98454079581.0,16161527.11645338,2.979,2.979
734631801.0,98454079581.0,16161527.11645338,3.051,2.802
666378439.0,98454079581.0,16161527.11645338,3.051,0.249
326872005.0,98454079581.0,16161527.11645338,2.292,0.063
991920937.0,98454079581.0,16161527.11645338,2.292,0.584
1216914397.0,98454079581.0,16161527.11645338,2.292,1.069
855712622.0,98454079581.0,16161527.11645338,2.292,0.576
814523002.0,98454079581.0,16161527.11645338,2.976,0.764
1145962972.0,98454079581.0,16161527.11645338,2.976,1.793
302019876.0,98454079581.0,16161527.11645338,2.976,0.222
261359935.0,98454079581.0,16161527.11645338,2.976,0.061
128130966.0,98454079581.0,16161527.11645338,2.976,0.136
4394835131.0,98454079581.0,16161527.11645338,2.824,2.824
1345832968.0,98454079581.0,16161527.11645338,0.697,0.445
532664283.0,98454079581.0,16161527.11645338,0.697,0.194
462534972.0,98454079581.0,16161527.11645338,0.697,0.058
850935197.0,98454079581.0,16161527.11645338,0.543,0.543
194261422.0,98454079581.0,16161527.11645338,0.181,0.181
136643320.0,98454079581.0,16161527.11645338,0.956,0.177
1051120777.0,98454079581.0,16161527.11645338,0.956,0.592
353448195.0,98454079581.0,16161527.11645338,0.956,0.129
293689428.0,98454079581.0,16161527.11645338,0.956,0.058
125446075.0,98454079581.0,16161527.11645338,0.105,0.105
533959816.0,98454079581.0,16161527.11645338,0.006,0.006
273755006.0,98454079581.0,16161527.11645338,0.372,0.287
377241484.0,98454079581.0,16161527.11645338,0.372,0.085
525591097.0,98454079581.0,16161527.11645338,0.046,0.046
1872454628.0,98454079581.0,16161527.11645338,1.749,0.147
965986531.0,98454079581.0,16161527.11645338,1.749,1.365
485166826.0,98454079581.0,16161527.11645338,1.749,0.09
277677050.0,98454079581.0,16161527.11645338,1.749,0.147
476976044.0,98454079581.0,16161527.11645338,0.941,0.427
211783588.0,98454079581.0,16161527.11645338,0.941,0.186
314150156.0,98454079581.0,16161527.11645338,0.941,0.328
5857796242.0,98454079581.0,16161527.11645338,2.601,2.601
1484426957.0,98454079581.0,16161527.11645338,18.045,0.787
5129958973.0,98454079581.0,16161527.11645338,18.045,2.955
2842613858.0,98454079581.0,16161527.11645338,18.045,3.969
1287247964.0,98454079581.0,16161527.11645338,18.045,2.067
4792902422.0,98454079581.0,16161527.11645338,18.045,7.809
356586730.0,98454079581.0,16161527.11645338,18.045,0.458
637332335.0,98454079581.0,16161527.11645338,2.198,1.24
517500000.0,98454079581.0,16161527.11645338,2.198,0.412
81838243.0,98454079581.0,16161527.11645338,2.198,0.193
182560698.0,98454079581.0,16161527.11645338,2.198,0.353
5392540963.0,98454079581.0,16161527.11645338,2.855,2.855
765785673.0,98454079581.0,16161527.11645338,2.511,0.755
630821784.0,98454079581.0,16161527.11645338,2.511,1.756
250969312.0,98454079581.0,16161527.11645338,12.589,0.212
1646519336.0,98454079581.0,16161527.11645338,12.589,0.438
4270903023.0,98454079581.0,16161527.11645338,12.589,11.939
265388400.0,98454079581.0,16161527.11645338,0.142,0.142
1242683687.0,98454079581.0,16161527.11645338,1.8,1.039
649238303.0,98454079581.0,16161527.11645338,1.8,0.298
727459637.0,98454079581.0,16161527.11645338,1.8,0.311
515193199.0,98454079581.0,16161527.11645338,1.8,0.152
460791208.0,98454079581.0,16161527.11645338,16.236,0.383
1150987430.0,98454079581.0,16161527.11645338,16.236,0.411
2255782178.0,98454079581.0,16161527.11645338,16.236,4.225
4431132660.0,98454079581.0,16161527.11645338,16.236,7.714
275170410.0,98454079581.0,16161527.11645338,16.236,0.213
779999989.0,98454079581.0,16161527.11645338,16.236,1.466
1198936529.0,98454079581.0,16161527.11645338,16.236,0.103
1090134379.0,98454079581.0,16161527.11645338,16.236,0.877
1023538460.0,98454079581.0,16161527.11645338,16.236,0.844
370735677.0,98454079581.0,16161527.11645338,1.519,0.365
1286616979.0,98454079581.0,16161527.11645338,1.519,1.154
455988366.0,98454079581.0,16161527.11645338,2.327,0.261
4779395040.0,98454079581.0,16161527.11645338,2.327,0.512
1145289019.0,98454079581.0,16161527.11645338,2.327,1.554
389635155.0,98454079581.0,16161527.11645338,0.995,0.052
540206440.0,98454079581.0,16161527.11645338,0.995,0.943
382442128.0,98454079581.0,16161527.11645338,1.6,0.937
807495418.0,98454079581.0,16161527.11645338,1.6,0.663
683508568.0,98454079581.0,16161527.11645338,3.235,3.235
323738747.0,98454079581.0,16161527.11645338,11.629,0.128
1858636840.0,98454079581.0,16161527.11645338,11.629,1.043
1679233590.0,98454079581.0,16161527.11645338,11.629,0.827
187732538.0,98454079581.0,16161527.11645338,11.629,0.334
1977170723.0,98454079581.0,16161527.11645338,11.629,3.802
268875696.0,98454079581.0,16161527.11645338,11.629,0.562
326175300.0,98454079581.0,16161527.11645338,11.629,0.62
1929556616.0,98454079581.0,16161527.11645338,11.629,1.135
255236938.0,98454079581.0,16161527.11645338,11.629,0.476
1253541010.0,98454079581.0,16161527.11645338,11.629,1.872
395801044.0,98454079581.0,16161527.11645338,11.629,0.466
218568234.0,98454079581.0,16161527.11645338,11.629,0.364
1243177587.0,98454079581.0,16161527.11645338,2.979,2.979
734631801.0,98454079581.0,16161527.11645338,3.051,2.802
666378439.0,98454079581.0,16161527.11645338,3.051,0.249
326872005.0,98454079581.0,16161527.11645338,2.292,0.063
991920937.0,98454079581.0,16161527.11645338,2.292,0.584
1216914397.0,98454079581.0,16161527.11645338,2.292,1.069
855712622.0,98454079581.0,16161527.11645338,2.292,0.576
814523002.0,98454079581.0,16161527.11645338,2.976,0.764
1145962972.0,98454079581.0,16161527.11645338,2.976,1.793
302019876.0,98454079581.0,16161527.11645338,2.976,0.222
261359935.0,98454079581.0,16161527.11645338,2.976,0.061
128130966.0,98454079581.0,16161527.11645338,2.976,0.136
4394835131.0,98454079581.0,16161527.11645338,2.824,2.824
1345832968.0,98454079581.0,16161527.11645338,0.697,0.445
532664283.0,98454079581.0,16161527.11645338,0.697,0.194
462534972.0,98454079581.0,16161527.11645338,0.697,0.058
850935197.0,98454079581.0,16161527.11645338,0.543,0.543
194261422.0,98454079581.0,16161527.11645338,0.181,0.181
136643320.0,98454079581.0,16161527.11645338,0.956,0.177
1051120777.0,98454079581.0,16161527.11645338,0.956,0.592
353448195.0,98454079581.0,16161527.11645338,0.956,0.129
293689428.0,98454079581.0,16161527.11645338,0.956,0.058
125446075.0,98454079581.0,16161527.11645338,0.105,0.105
533959816.0,98454079581.0,16161527.11645338,0.006,0.006
273755006.0,98454079581.0,16161527.11645338,0.372,0.287
377241484.0,98454079581.0,16161527.11645338,0.372,0.085
525591097.0,98454079581.0,16161527.11645338,0.046,0.046
1872454628.0,98454079581.0,16161527.11645338,1.749,0.147
965986531.0,98454079581.0,16161527.11645338,1.749,1.365
485166826.0,98454079581.0,16161527.11645338,1.749,0.09
277677050.0,98454079581.0,16161527.11645338,1.749,0.147
476976044.0,98454079581.0,16161527.11645338,0.941,0.427
211783588.0,98454079581.0,16161527.11645338,0.941,0.186
314150156.0,98454079581.0,16161527.11645338,0.941,0.328
5857796242.0,98454079581.0,16161527.11645338,2.601,2.601
1484426957.0,98454079581.0,16161527.11645338,18.045,0.787
5129958973.0,98454079581.0,16161527.11645338,18.045,2.955
2842613858.0,98454079581.0,16161527.11645338,18.045,3.969
1287247964.0,98454079581.0,16161527.11645338,18.045,2.067
4792902422.0,98454079581.0,16161527.11645338,18.045,7.809
356586730.0,98454079581.0,16161527.11645338,18.045,0.458
637332335.0,98454079581.0,16161527.11645338,2.198,1.24
517500000.0,98454079581.0,16161527.11645338,2.198,0.412
81838243.0,98454079581.0,16161527.11645338,2.198,0.193
182560698.0,98454079581.0,16161527.11645338,2.198,0.353
5392540963.0,98454079581.0,16161527.11645338,2.855,2.855
765785673.0,98454079581.0,16161527.11645338,2.511,0.755
630821784.0,98454079581.0,16161527.11645338,2.511,1.756
250969312.0,98454079581.0,16161527.11645338,12.589,0.212
1646519336.0,98454079581.0,16161527.11645338,12.589,0.438
4270903023.0,98454079581.0,16161527.11645338,12.589,11.939
265388400.0,98454079581.0,16161527.11645338,0.142,0.142
1242683687.0,98454079581.0,16161527.11645338,1.8,1.039
649238303.0,98454079581.0,16161527.11645338,1.8,0.298
727459637.0,98454079581.0,16161527.11645338,1.8,0.311
515193199.0,98454079581.0,16161527.11645338,1.8,0.152
460791208.0,98454079581.0,16161527.11645338,16.236,0.383
1150987430.0,98454079581.0,16161527.11645338,16.236,0.411
2255782178.0,98454079581.0,16161527.11645338,16.236,4.225
4431132660.0,98454079581.0,16161527.11645338,16.236,7.714
275170410.0,98454079581.0,16161527.11645338,16.236,0.213
779999989.0,98454079581.0,16161527.11645338,16.236,1.466
1198936529.0,98454079581.0,16161527.11645338,16.236,0.103
1090134379.0,98454079581.0,16161527.11645338,16.236,0.877
1023538460.0,98454079581.0,16161527.11645338,16.236,0.844
370735677.0,98454079581.0,16161527.11645338,1.519,0.365
1286616979.0,98454079581.0,16161527.11645338,1.519,1.154
455988366.0,98454079581.0,16161527.11645338,2.327,0.261
4779395040.0,98454079581.0,16161527.11645338,2.327,0.512
1145289019.0,98454079581.0,16161527.11645338,2.327,1.554
389635155.0,98454079581.0,16161527.11645338,0.995,0.052
540206440.0,98454079581.0,16161527.11645338,0.995,0.943
382442128.0,98454079581.0,16161527.11645338,1.6,0.937
807495418.0,98454079581.0,16161527.11645338,1.6,0.663
683508568.0,98454079581.0,16161527.11645338,3.235,3.235
323738747.0,98454079581.0,16161527.11645338,11.629,0.128
1858636840.0,98454079581.0,16161527.11645338,11.629,1.043
1679233590.0,98454079581.0,16161527.11645338,11.629,0.827
187732538.0,98454079581.0,16161527.11645338,11.629,0.334
1977170723.0,98454079581.0,16161527.11645338,11.629,3.802
268875696.0,98454079581.0,16161527.11645338,11.629,0.562
326175300.0,98454079581.0,16161527.11645338,11.629,0.62
1929556616.0,98454079581.0,16161527.11645338,11.629,1.135
255236938.0,98454079581.0,16161527.11645338,11.629,0.476
1253541010.0,98454079581.0,16161527.11645338,11.629,1.872
395801044.0,98454079581.0,16161527.11645338,11.629,0.466
218568234.0,98454079581.0,16161527.11645338,11.629,0.364
1243177587.0,98454079581.0,16161527.11645338,2.979,2.979
734631801.0,98454079581.0,16161527.11645338,3.051,2.802
666378439.0,98454079581.0,16161527.11645338,3.051,0.249
326872005.0,98454079581.0,16161527.11645338,2.292,0.063
991920937.0,98454079581.0,16161527.11645338,2.292,0.584
1216914397.0,98454079581.0,16161527.11645338,2.292,1.069
855712622.0,98454079581.0,16161527.11645338,2.292,0.576
814523002.0,98454079581.0,16161527.11645338,2.976,0.764
1145962972.0,98454079581.0,16161527.11645338,2.976,1.793
302019876.0,98454079581.0,16161527.11645338,2.976,0.222
261359935.0,98454079581.0,16161527.11645338,2.976,0.061
128130966.0,98454079581.0,16161527.11645338,2.976,0.136
4394835131.0,98454079581.0,16161527.11645338,2.824,2.824
1345832968.0,98454079581.0,16161527.11645338,0.697,0.445
532664283.0,98454079581.0,16161527.11645338,0.697,0.194
462534972.0,98454079581.0,16161527.11645338,0.697,0.058
850935197.0,98454079581.0,16161527.11645338,0.543,0.543
194261422.0,98454079581.0,16161527.11645338,0.181,0.181
136643320.0,98454079581.0,16161527.11645338,0.956,0.177
1051120777.0,98454079581.0,16161527.11645338,0.956,0.592
353448195.0,98454079581.0,16161527.11645338,0.956,0.129
293689428.0,98454079581.0,16161527.11645338,0.956,0.058
125446075.0,98454079581.0,16161527.11645338,0.105,0.105
533959816.0,98454079581.0,16161527.11645338,0.006,0.006
273755006.0,98454079581.0,16161527.11645338,0.372,0.287
377241484.0,98454079581.0,16161527.11645338,0.372,0.085
525591097.0,98454079581.0,16161527.11645338,0.046,0.046
1872454628.0,98454079581.0,16161527.11645338,1.749,0.147
965986531.0,98454079581.0,16161527.11645338,1.749,1.365
485166826.0,98454079581.0,16161527.11645338,1.749,0.09
277677050.0,98454079581.0,16161527.11645338,1.749,0.147
476976044.0,98454079581.0,16161527.11645338,0.941,0.427
211783588.0,98454079581.0,16161527.11645338,0.941,0.186
314150156.0,98454079581.0,16161527.11645338,0.941,0.328
5857796242.0,98454079581.0,16161527.11645338,2.601,2.601
1484426957.0,98454079581.0,16161527.11645338,18.045,0.787
5129958973.0,98454079581.0,16161527.11645338,18.045,2.955
2842613858.0,98454079581.0,16161527.11645338,18.045,3.969
1287247964.0,98454079581.0,16161527.11645338,18.045,2.067
4792902422.0,98454079581.0,16161527.11645338,18.045,7.809
356586730.0,98454079581.0,16161527.11645338,18.045,0.458
637332335.0,98454079581.0,16161527.11645338,2.198,1.24
517500000.0,98454079581.0,16161527.11645338,2.198,0.412
81838243.0,98454079581.0,16161527.11645338,2.198,0.193
182560698.0,98454079581.0,16161527.11645338,2.198,0.353
5392540963.0,98454079581.0,16161527.11645338,2.855,2.855
765785673.0,98454079581.0,16161527.11645338,2.511,0.755
630821784.0,98454079581.0,16161527.11645338,2.511,1.756
250969312.0,98454079581.0,16161527.11645338,12.589,0.212
1646519336.0,98454079581.0,16161527.11645338,12.589,0.438
4270903023.0,98454079581.0,16161527.11645338,12.589,11.939
265388400.0,98454079581.0,16161527.11645338,0.142,0.142
1242683687.0,98454079581.0,16161527.11645338,1.8,1.039
649238303.0,98454079581.0,16161527.11645338,1.8,0.298
727459637.0,98454079581.0,16161527.11645338,1.8,0.311
515193199.0,98454079581.0,16161527.11645338,1.8,0.152
460791208.0,98454079581.0,16161527.11645338,16.236,0.383
1150987430.0,98454079581.0,16161527.11645338,16.236,0.411
2255782178.0,98454079581.0,16161527.11645338,16.236,4.225
4431132660.0,98454079581.0,16161527.11645338,16.236,7.714
275170410.0,98454079581.0,16161527.11645338,16.236,0.213
779999989.0,98454079581.0,16161527.11645338,16.236,1.466
1198936529.0,98454079581.0,16161527.11645338,16.236,0.103
1090134379.0,98454079581.0,16161527.11645338,16.236,0.877
1023538460.0,98454079581.0,16161527.11645338,16.236,0.844
370735677.0,98454079581.0,16161527.11645338,1.519,0.365
1286616979.0,98454079581.0,16161527.11645338,1.519,1.154
455988366.0,98454079581.0,16161527.11645338,2.327,0.261
4779395040.0,98454079581.0,16161527.11645338,2.327,0.512
1145289019.0,98454079581.0,16161527.11645338,2.327,1.554
389635155.0,98454079581.0,16161527.11645338,0.995,0.052
540206440.0,98454079581.0,16161527.11645338,0.995,0.943
382442128.0,98454079581.0,16161527.11645338,1.6,0.937
807495418.0,98454079581.0,16161527.11645338,1.6,0.663
683508568.0,98454079581.0,16161527.11645338,3.235,3.235
323738747.0,98454079581.0,16161527.11645338,11.629,0.128
1858636840.0,98454079581.0,16161527.11645338,11.629,1.043
1679233590.0,98454079581.0,16161527.11645338,11.629,0.827
187732538.0,98454079581.0,16161527.11645338,11.629,0.334
1977170723.0,98454079581.0,16161527.11645338,11.629,3.802
268875696.0,98454079581.0,16161527.11645338,11.629,0.562
326175300.0,98454079581.0,16161527.11645338,11.629,0.62
1929556616.0,98454079581.0,16161527.11645338,11.629,1.135
255236938.0,98454079581.0,16161527.11645338,11.629,0.476
1253541010.0,98454079581.0,16161527.11645338,11.629,1.872
395801044.0,98454079581.0,16161527.11645338,11.629,0.466
218568234.0,98454079581.0,16161527.11645338,11.629,0.364
1243177587.0,98454079581.0,16161527.11645338,2.979,2.979
734631801.0,98454079581.0,16161527.11645338,3.051,2.802
666378439.0,98454079581.0,16161527.11645338,3.051,0.249
326872005.0,98454079581.0,16161527.11645338,2.292,0.063
991920937.0,98454079581.0,16161527.11645338,2.292,0.584
1216914397.0,98454079581.0,16161527.11645338,2.292,1.069
855712622.0,98454079581.0,16161527.11645338,2.292,0.576
814523002.0,98454079581.0,16161527.11645338,2.976,0.764
1145962972.0,98454079581.0,16161527.11645338,2.976,1.793
302019876.0,98454079581.0,16161527.11645338,2.976,0.222
261359935.0,98454079581.0,16161527.11645338,2.976,0.061
128130966.0,98454079581.0,16161527.11645338,2.976,0.136
4394835131.0,98454079581.0,16161527.11645338,2.824,2.824
1345832968.0,98454079581.0,16161527.11645338,0.697,0.445
532664283.0,98454079581.0,16161527.11645338,0.697,0.194
462534972.0,98454079581.0,16161527.11645338,0.697,0.058
850935197.0,98454079581.0,16161527.11645338,0.543,0.543
194261422.0,98454079581.0,16161527.11645338,0.181,0.181
136643320.0,98454079581.0,16161527.11645338,0.956,0.177
1051120777.0,98454079581.0,16161527.11645338,0.956,0.592
353448195.0,98454079581.0,16161527.11645338,0.956,0.129
293689428.0,98454079581.0,16161527.11645338,0.956,0.058
125446075.0,98454079581.0,16161527.11645338,0.105,0.105
533959816.0,98454079581.0,16161527.11645338,0.006,0.006
273755006.0,98454079581.0,16161527.11645338,0.372,0.287
377241484.0,98454079581.0,16161527.11645338,0.372,0.085
525591097.0,98454079581.0,16161527.11645338,0.046,0.046
1872454628.0,98454079581.0,16161527.11645338,1.749,0.147
965986531.0,98454079581.0,16161527.11645338,1.749,1.365
485166826.0,98454079581.0,16161527.11645338,1.749,0.09
277677050.0,98454079581.0,16161527.11645338,1.749,0.147
476976044.0,98454079581.0,16161527.11645338,0.941,0.427
211783588.0,98454079581.0,16161527.11645338,0.941,0.186
314150156.0,98454079581.0,16161527.11645338,0.941,0.328
5857796242.0,98454079581.0,16161527.11645338,2.601,2.601
1484426957.0,98454079581.0,16161527.11645338,18.045,0.787
5129958973.0,98454079581.0,16161527.11645338,18.045,2.955
2842613858.0,98454079581.0,16161527.11645338,18.045,3.969
1287247964.0,98454079581.0,16161527.11645338,18.045,2.067
4792902422.0,98454079581.0,16161527.11645338,18.045,7.809
356586730.0,98454079581.0,16161527.11645338,18.045,0.458
637332335.0,98454079581.0,16161527.11645338,2.198,1.24
517500000.0,98454079581.0,16161527.11645338,2.198,0.412
81838243.0,98454079581.0,16161527.11645338,2.198,0.193
182560698.0,98454079581.0,16161527.11645338,2.198,0.353
5392540963.0,98454079581.0,16161527.11645338,2.855,2.855
765785673.0,98454079581.0,16161527.11645338,2.511,0.755
630821784.0,98454079581.0,16161527.11645338,2.511,1.756
250969312.0,98454079581.0,16161527.11645338,12.589,0.212
1646519336.0,98454079581.0,16161527.11645338,12.589,0.438
4270903023.0,98454079581.0,16161527.11645338,12.589,11.939
265388400.0,98454079581.0,16161527.11645338,0.142,0.142
1242683687.0,98454079581.0,16161527.11645338,1.8,1.039
649238303.0,98454079581.0,16161527.11645338,1.8,0.298
727459637.0,98454079581.0,16161527.11645338,1.8,0.311
515193199.0,98454079581.0,16161527.11645338,1.8,0.152
460791208.0,98454079581.0,16161527.11645338,16.236,0.383
1150987430.0,98454079581.0,16161527.11645338,16.236,0.411
2255782178.0,98454079581.0,16161527.11645338,16.236,4.225
4431132660.0,98454079581.0,16161527.11645338,16.236,7.714
275170410.0,98454079581.0,16161527.11645338,16.236,0.213
779999989.0,98454079581.0,16161527.11645338,16.236,1.466
1198936529.0,98454079581.0,16161527.11645338,16.236,0.103
1090134379.0,98454079581.0,16161527.11645338,16.236,0.877
1023538460.0,98454079581.0,16161527.11645338,16.236,0.844
370735677.0,98454079581.0,16161527.11645338,1.519,0.365
1286616979.0,98454079581.0,16161527.11645338,1.519,1.154
455988366.0,98454079581.0,16161527.11645338,2.327,0.261
4779395040.0,98454079581.0,16161527.11645338,2.327,0.512
1145289019.0,98454079581.0,16161527.11645338,2.327,1.554
389635155.0,98454079581.0,16161527.11645338,0.995,0.052
540206440.0,98454079581.0,16161527.11645338,0.995,0.943
382442128.0,98454079581.0,16161527.11645338,1.6,0.937
807495418.0,98454079581.0,16161527.11645338,1.6,0.663
683508568.0,98454079581.0,16161527.11645338,3.235,3.235
323738747.0,98454079581.0,16161527.11645338,11.629,0.128
1858636840.0,98454079581.0,16161527.11645338,11.629,1.043
1679233590.0,98454079581.0,16161527.11645338,11.629,0.827
187732538.0,98454079581.0,16161527.11645338,11.629,0.334
1977170723.0,98454079581.0,16161527.11645338,11.629,3.802
268875696.0,98454079581.0,16161527.11645338,11.629,0.562
326175300.0,98454079581.0,16161527.11645338,11.629,0.62
1929556616.0,98454079581.0,16161527.11645338,11.629,1.135
255236938.0,98454079581.0,16161527.11645338,11.629,0.476
1253541010.0,98454079581.0,16161527.11645338,11.629,1.872
395801044.0,98454079581.0,16161527.11645338,11.629,0.466
218568234.0,98454079581.0,16161527.11645338,11.629,0.364
